,#START#,O,I-neutral,B-neutral,I-positive,B-positive,B-negative,I-negative,#STOP#
#UNK#,0,7.196781599268807e-06,0.00015755475027572083,0.0001753463089601964,0.0004014452027298274,0.0004572473708276177,0.002004008016032064,0.003952569169960474,0
，,0,0.0613458078445484,0.0040970690198550265,0.0,0.0,0.0,0.0,0.0,0
的,0,0.04293630802446923,0.024267254963756698,0.0,0.020883534136546186,0.0,0.0,0.07142857142857142,0
#null#,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
。,0,0.02360561353004678,0.0,0.0,0.0,0.0,0.0,0.0,0
#,0,0.01550197912918316,0.005042546485975417,0.0540161346895826,0.005622489959839358,0.10155535224153706,0.008032128514056224,0.0,0
],0,0.016106513134220943,0.001575795776867318,0.0,0.00321285140562249,0.0,0.0,0.0,0
[,0,0.01602015113350126,0.001575795776867318,0.00035075412136092597,0.00321285140562249,0.0,0.0,0.0,0
了,0,0.015444404462036704,0.001575795776867318,0.0,0.001606425702811245,0.0,0.0,0.0,0
我,0,0.012983087441525728,0.0025212732429877086,0.003156787092248334,0.0008032128514056225,0.009149130832570906,0.05622489959839357,0.0,0
！,0,0.013371716444764304,0.0018909549322407816,0.0,0.0,0.0,0.0,0.0,0
你,0,0.009312702410939186,0.003151591553734636,0.006664328305857594,0.001606425702811245,0.0036596523330283625,0.020080321285140562,0.007936507936507936,0
是,0,0.00862180640518172,0.001575795776867318,0.0,0.0,0.0,0.0,0.007936507936507936,0
在,0,0.0082907520690896,0.001575795776867318,0.0,0.00321285140562249,0.0,0.0,0.0,0
、,0,0.007455919395465995,0.002206114087614245,0.0,0.0,0.0,0.0,0.0,0
：,0,0.004706729039222742,0.00441222817522849,0.0,0.00321285140562249,0.0,0.0,0.0,0
都,0,0.004951421374595178,0.0,0.0,0.0,0.0,0.0,0.0,0
【,0,0.004605973371716445,0.0,0.0,0.0008032128514056225,0.0009149130832570906,0.0,0.0,0
@,0,0.0021302626844188557,0.0,0.039284461592423714,0.0008032128514056225,0.05215004574565416,0.012048192771084338,0.0,0
】,0,0.0045483987045699895,0.0,0.0,0.0024096385542168677,0.0,0.0,0.0,0
/,0,0.004318100035984167,0.0012606366214938543,0.0,0.0,0.0,0.0,0.0,0
和,0,0.0041165887009715725,0.002206114087614245,0.0,0.0008032128514056225,0.0,0.0,0.0,0
有,0,0.004130982367758187,0.0006303183107469272,0.0,0.0,0.0009149130832570906,0.0,0.0,0
《,0,0.003641597697013314,0.0003151591553734636,0.0056120659417748155,0.0008032128514056225,0.007319304666056725,0.004016064257028112,0.0,0
.,0,0.00395825836631882,0.0003151591553734636,0.0,0.0008032128514056225,0.0,0.0,0.0,0
》,0,0.0036128103634400863,0.005042546485975417,0.0,0.007228915662650603,0.0,0.0,0.007936507936507936,0
“,0,0.0038575026988125227,0.0006303183107469272,0.001052262364082778,0.0,0.0027447392497712718,0.0,0.0,0
人,0,0.0034256926952141056,0.0040970690198550265,0.0014030164854437039,0.0024096385542168677,0.0,0.01606425702811245,0.07142857142857142,0
”,0,0.0037567470313062254,0.002206114087614245,0.0,0.001606425702811245,0.0,0.0,0.0,0
也,0,0.003655991363799928,0.0,0.0,0.0,0.0009149130832570906,0.0,0.0,0
就,0,0.0033393306944944226,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
？,0,0.0030514573587621446,0.0006303183107469272,0.0,0.0,0.0,0.0,0.0,0
…,0,0.003022670025188917,0.0,0.0,0.0,0.0,0.0,0.0,0
不,0,0.0028499460237495504,0.0003151591553734636,0.00035075412136092597,0.0008032128514056225,0.0,0.0,0.007936507936507936,0
吧,0,0.0027204030226700253,0.0018909549322407816,0.0,0.0,0.0,0.0,0.0,0
好,0,0.0026628283555235697,0.0009454774661203908,0.0,0.0,0.0,0.004016064257028112,0.0,0
