,#START#,O,I-neutral,B-neutral,B-positive,I-positive,B-negative,I-negative,#STOP#
#UNK#,0,5.6224944758991775e-06,3.491985892376995e-05,4.050714951188885e-05,0.0002646202699126753,0.00037979491074819596,0.000881057268722467,0.0021321961620469083,0
#null#,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
at,0,0.04547499100395826,0.0006285794105321972,0.0,0.0,0.00303951367781155,0.0,0.0,0
in,0,0.040032385750269885,0.019416119569772315,8.101758081503687e-05,0.0,0.010638297872340425,0.0,0.008547008547008548,0
I'm,0,0.036433969053616407,0.0001396843134515994,8.101758081503687e-05,0.0,0.0,0.005291005291005291,0.0,0
Singapore,0,0.0019903742353364518,0.028076547003771476,0.18050717005590214,0.02011646373742721,0.020516717325227963,0.015873015873015872,0.017094017094017096,0
",",0,0.01856558114429651,0.0453974018717698,0.0,0.0,0.017477203647416412,0.0,0.017094017094017096,0
.,0,0.023996941345807845,0.004679424500628579,0.0,0.0,0.014437689969604863,0.0,0.004273504273504274,0
@,0,0.02044350485786254,0.002095264701773991,0.00016203516163007373,0.0,0.003799392097264438,0.0,0.0,0
(,0,0.014000089960417416,0.02032406760720771,8.101758081503687e-05,0.0,0.008358662613981762,0.0,0.004273504273504274,0
),0,0.013921374595178122,0.02046375192065931,0.0,0.0,0.008358662613981762,0.0,0.004273504273504274,0
!,0,0.01611415976970133,0.0004888950970805978,0.0,0.0,0.0,0.0,0.0,0
the,0,0.013977599856063332,0.003352423522838385,0.0006481406465202949,0.0010587612493382743,0.008358662613981762,0.001763668430335097,0.004273504273504274,0
to,0,0.014146275638718963,0.00020952647017739908,0.0,0.0,0.00303951367781155,0.0,0.0,0
Johor,0,0.0011357502698812522,0.035759184243609445,0.049987847362877744,0.0010587612493382743,0.007598784194528876,0.003527336860670194,0.0,0
and,0,0.009929381072328176,0.0016762117614191926,0.0,0.0,0.003799392097264438,0.0,0.004273504273504274,0
a,0,0.009232187837351566,0.0002793686269031988,0.00016203516163007373,0.0,0.0007598784194528875,0.0,0.0,0
/,0,0.00813017272400144,0.0048889509708059786,0.0,0.0,0.00303951367781155,0.0,0.004273504273504274,0
-,0,0.008231378193594818,0.0030032127392093867,0.0,0.0,0.003799392097264438,0.0,0.004273504273504274,0
I,0,0.008534994602374954,0.0004888950970805978,0.00032407032326014747,0.0,0.001519756838905775,0.0,0.0,0
for,0,0.008231378193594818,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
is,0,0.007691615689096798,0.0,0.0,0.0,0.0,0.0,0.0,0
of,0,0.0064659050017992084,0.0053080039111607765,0.0,0.0,0.012917933130699088,0.0,0.004273504273504274,0
…,0,0.007343019071608493,0.0004888950970805978,0.0,0.0,0.0,0.0,0.0,0
with,0,0.0071293630802446925,6.98421567257997e-05,0.0,0.0,0.004559270516717325,0.0,0.0,0
Bahru,0,0.00030361640878013674,0.039670345020254225,0.0,0.0,0.009878419452887538,0.0,0.008547008547008548,0
?,0,0.006814501619287513,0.0,0.0,0.0,0.0,0.0,0.0,0
w,0,0.006510885210507376,0.0,0.0,0.0,0.0007598784194528875,0.0,0.0,0
you,0,0.006128553436487945,0.0002793686269031988,0.0,0.0010587612493382743,0.0,0.010582010582010581,0.0,0
—,0,0.00599361281036344,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
my,0,0.005611281036344009,6.98421567257997e-05,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
&,0,0.002788772939906441,0.009358849001257158,0.0,0.0,0.00911854103343465,0.0,0.0,0
The,0,0.0020465994962216624,0.002095264701773991,0.011747549218180345,0.007940709370037057,0.00303951367781155,0.003527336860670194,0.004273504273504274,0
:,0,0.0040369737315581146,0.0012571588210643944,0.0,0.0,0.001519756838905775,0.0,0.0,0
',0,0.0035759265922993885,0.0030032127392093867,8.101758081503687e-05,0.0005293806246691371,0.0022796352583586625,0.0,0.0,0
on,0,0.003913278157610651,0.0006984215672579969,0.0,0.0,0.0,0.0,0.0,0
me,0,0.003553436487945304,0.00020952647017739908,0.00016203516163007373,0.0,0.0,0.0,0.0,0
i,0,0.003440985966174883,6.98421567257997e-05,0.0008101758081503687,0.0,0.0,0.001763668430335097,0.0,0
...,0,0.0033847607052896727,6.98421567257997e-05,0.0,0.0,0.0,0.0,0.0,0
this,0,0.0033847607052896727,0.0,0.0,0.0,0.0,0.0,0.0,0
so,0,0.0032723101835192515,0.0,0.0,0.0,0.0,0.0,0.0,0
be,0,0.0031486146095717885,0.0,0.0,0.0,0.0,0.0,0.0,0
it,0,0.0031373695573947463,0.0,0.0,0.0,0.0,0.0,0.0,0
️,0,0.002901223461676862,0.0,0.0,0.0,0.0,0.0,0.0,0
that,0,0.0028112630442605254,0.0,0.0,0.0,0.0,0.0,0.0,0
#Singapore,0,0.0008321338611011155,0.0,0.012719760187960788,0.0037056643726839597,0.0,0.001763668430335097,0.0,0
Centre,0,5.622526088521051e-05,0.015365274479675933,0.0,0.0,0.0022796352583586625,0.0,0.008547008547008548,0
from,0,0.002530136739834473,0.00020952647017739908,0.0,0.0,0.0,0.0,0.0,0
just,0,0.0023839510615329255,0.0,0.0,0.0,0.0,0.0,0.0,0
are,0,0.002338970852824757,0.0,0.0,0.0,0.0,0.0,0.0,0
but,0,0.0022939906441165887,0.0,0.0,0.0,0.0,0.0,0.0,0
by,0,0.0019004138179201152,0.0022349490152255903,0.0,0.0,0.0022796352583586625,0.0,0.0,0
not,0,0.0022715005397625043,0.0,0.0,0.0,0.0,0.0,0.0,0
Bus,0,0.0008433789132781576,0.004050845090096383,0.005266142752977396,0.0,0.0,0.0,0.0,0
like,0,0.002226520331054336,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0,0.0015068369917236417,0.003841318619918983,8.101758081503687e-05,0.0,0.00303951367781155,0.0,0.0,0
Blk,0,0.0009445843828715365,0.003142897052660986,0.004942072429717248,0.0,0.0,0.0,0.0,0
College,0,3.3735156531126305e-05,0.012501746053918145,0.0,0.0,0.0022796352583586625,0.0,0.008547008547008548,0
have,0,0.0020690896005757468,0.0,0.0,0.0,0.0,0.0,0.0,0
..,0,0.002012864339690536,0.0001396843134515994,0.0,0.0,0.0,0.0,0.0,0
s,0,0.0019229039222741994,0.0004888950970805978,0.0,0.0,0.001519756838905775,0.0,0.0,0
ITE,0,4.49802087081684e-05,0.00041905294035479815,0.013124848092035972,0.0010587612493382743,0.0,0.003527336860670194,0.0,0
Mall,0,2.24901043540842e-05,0.01166364017320855,8.101758081503687e-05,0.0,0.0007598784194528875,0.0,0.0,0
Just,0,0.001889168765743073,0.0,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
[,0,0.001877923713566031,0.0001396843134515994,0.0,0.0,0.0,0.0,0.0,0
],0,0.0018666786613889888,0.00020952647017739908,0.0,0.0,0.0,0.0,0.0,0
now,0,0.0017992083483267362,6.98421567257997e-05,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
all,0,0.00176547319179561,0.0001396843134515994,8.101758081503687e-05,0.0,0.0,0.0,0.0,0
Bay,0,1.12450521770421e-05,0.009987428411789356,0.0,0.0,0.010638297872340425,0.0,0.0,0
pic,0,0.0017429830874415256,0.0,0.0,0.0,0.0,0.0,0.0,0
was,0,0.0017092479309103994,0.0,0.0,0.0,0.0,0.0,0.0,0
will,0,0.0016417776178481469,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0,0.0011582403742353363,0.0027238441123061882,0.0002430527424451106,0.0,0.0007598784194528875,0.0,0.0,0
can,0,0.0016305325656711047,0.0,0.0,0.0,0.0,0.0,0.0,0
MRT,0,6.747031306225261e-05,0.009428691157982958,0.00016203516163007373,0.0,0.0007598784194528875,0.0,0.0,0
photo,0,0.0015743073047858943,0.0,0.00032407032326014747,0.0,0.0,0.0,0.0,0
posted,0,0.0016192875134940627,0.0,0.0,0.0,0.0,0.0,0.0,0
your,0,0.0015967974091399785,0.0,0.0,0.0,0.0,0.0,0.0,0
@itespore,0,0.0009220942785174523,0.0005587372538063976,0.004050879040751843,0.0,0.0,0.0,0.0,0
City,0,7.871536523929471e-05,0.007682637239837966,0.0013772988738556266,0.0005293806246691371,0.003799392097264438,0.0,0.0,0
go,0,0.0011807304785894208,0.0013968431345159939,0.0,0.0,0.006838905775075988,0.0,0.021367521367521368,0
up,0,0.00155181720043181,0.0,0.0,0.0,0.0,0.0,0.0,0
we,0,0.00155181720043181,0.0,0.0,0.0,0.0,0.0,0.0,0
